"Date","ReferenceNo.","Type","Description","Debit","Credit", "CheckNumber"
"6/25/2016","","DEBIT","WITHDRAWAL. POS 0625 1610 700649 COSTCO WHSE #020        NESCONSET    NY","-3.15","",""
"6/25/2016","","DEBIT","WITHDRAWAL. POS 0625 1546 700438 IENTAL GROCERY          STONYBROOK   NY","-19.74","",""
"6/25/2016","","DEBIT","MISCELLANEOUS DEBIT. POS 0625 0224 686887 NOODLES   COMPAN        TORONTO      ON ATM TRANSACTION FEE","-0.06","",""
"6/25/2016","","DEBIT","DEBIT CARD DEBIT NOODLES COMPAN TORONTO ON","-6.05","",""
"6/25/2016","","DEBIT","WITHDRAWAL. POS 0625 0001 691623 LIRR TVM                JAMAICA      NY","-13.25","",""
"6/24/2016","","CREDIT","ELECTRONIC DEPOSIT. R.F.OF S.U.N.Y  SALARY    160621","","653.70",""
"6/24/2016","","DEBIT","MISCELLANEOUS DEBIT. POS 0624 0231 664857 GREYHOUND CAN-89        877-463-6446 AB ATM TRANSACTION FEE","-0.17","",""
"6/24/2016","","DEBIT","DEBIT CARD DEBIT GREYHOUND CAN-89 877-463-6446 AB","-15.01","",""
"6/23/2016","","DEBIT","MISCELLANEOUS DEBIT. POS 0623 1949 660559 FRAT BURGER             WATERLOO     ON ATM TRANSACTION FEE","-0.14","",""
"6/23/2016","","DEBIT","DEBIT CARD DEBIT FRAT BURGER WATERLOO ON","-13.59","",""
"6/23/2016","","DEBIT","MISCELLANEOUS DEBIT. POS 0623 0520 660988 WATERLOO CENTRAL        WATERLOO     ON ATM TRANSACTION FEE","-0.10","",""
"6/23/2016","","DEBIT","DEBIT CARD DEBIT WATERLOO CENTRAL WATERLOO ON","-8.58","",""
"6/22/2016","","DEBIT","MISCELLANEOUS DEBIT. POS 0622 0506 645079 ANGEL S FAMILY R        WATERLOO     ON ATM TRANSACTION FEE","-0.15","",""
"6/22/2016","","DEBIT","DEBIT CARD DEBIT ANGEL S FAMILY R WATERLOO ON","-13.56","",""
"6/22/2016","","DEBIT","MISCELLANEOUS DEBIT. POS 0622 0450 647129 NEIGHBOURS MARKE        WATERLOO     ON ATM TRANSACTION FEE","-0.06","",""
"6/22/2016","","DEBIT","DEBIT CARD DEBIT NEIGHBOURS MARKE WATERLOO ON","-5.15","",""
"6/21/2016","","DEBIT","MISCELLANEOUS DEBIT. ATM 0621 1444 642557 2655 TERMINAL TWO R     MALTON       ON ATM TRANSACTION FEE","-1.80","",""
"6/21/2016","","DEBIT","WITHDRAWAL. ATM 0621 1444 642557 2655 TERMINAL TWO R     MALTON       ON","-88.82","",""
"6/21/2016","","DEBIT","WITHDRAWAL. POS 0621 0650 637241 LIRR TVM                JAMAICA      NY","-18.25","",""
"6/21/2016","","DEBIT","DEBIT CARD DEBIT LE DISTRICT MARK NEW YORK NY","-13.94","",""
"6/20/2016","","DEBIT","WITHDRAWAL. POS 0620 1645 631446 LIRR TVM                JAMAICA      NY","-18.25","",""
"6/20/2016","","DEBIT","WITHDRAWAL. POS 0620 1318 628382 LIRR TVM                JAMAICA      NY","-13.25","",""
"6/19/2016","","DEBIT","WITHDRAWAL. POS 0619 1653 615563 STOP   SHOP 0574        SETAUKET     NY","-16.20","",""
"6/18/2016","","DEBIT","WITHDRAWAL. POS 0618 0914 600345 MTA VENDING MACH        NEW YORK     NY","-10.00","",""
"6/18/2016","","DEBIT","WITHDRAWAL. POS 0618 0711 599253 LIRR TVM                JAMAICA      NY","-26.50","",""
"6/18/2016","","DEBIT","DEBIT CARD DEBIT SUSHI ICHI EAST SETAUKETNY","-32.27","",""
"6/16/2016","","DEBIT","DEBIT CARD DEBIT VESTA *T-MOBILE 888-278-3397 OR","-16.30","",""
"6/15/2016","","DEBIT","DEBIT CARD DEBIT SQ *GRILL ON LLC BLUE POINT NY","-7.60","",""
"6/12/2016","","DEBIT","WITHDRAWAL. POS 0612 1220 519305 WAL-MART #2286          CENTEREACH (LNY","-49.06","",""
